SERIAL_NO	TABLE_NAME	SECTION_LEVEL1	SECTION_LEVEL2	FIELD_OID	BUSINESS_NAME	FIELD_NAME	FIELD_LABEL	field_label_zh_cn	field_label_en	FORM_OID	DATA_TYPE	DICT_ITEM	DICT_TABLE	DESCRIPTION	VISIBILITY_CONDITION	RELATED_FIELD	IS_PREDEFINED	FIELD_COMPONENT_TYPE	FIELD_DATA_TYPE
45	CathPCI_Data_Dictionary	C.病史和风险因素		141	使用的糖尿病治疗方案	Diabetes_Control_Cd	使用的糖尿病治疗方案	使用的糖尿病治疗方案	Diabetes Therapy	2	nvarchar(40)	diabetes_control	Dict_Candidate_Values		if_diabetes == 102		1	mult_checkbox	list
46	CathPCI_Data_Dictionary	D.导管治疗记录	术前临床评估	142	收缩压	Systolic_Bp_Mmhg	收缩压	收缩压	Systolic pressure	3	int						1	textfield	integer
47	CathPCI_Data_Dictionary	D.导管治疗记录		143	舒张压	Diastolic_Bp_Mmhg	舒张压	舒张压	Diastolic pressure 	3	int						1	textfield	integer
48	CathPCI_Data_Dictionary	D.导管治疗记录		144	心率	Heart_Rate	心率	心率	Heart Rate	3	int						1	textfield	integer
49	CathPCI_Data_Dictionary	D.导管治疗记录		145	临床表现	Cad_Presentation_Cd	临床表现	临床表现	CAD Presentation	3	char(3)	cad_presentation	Dict_Candidate_Values				1	radio	list
50	CathPCI_Data_Dictionary	D.导管治疗记录		146	无症状性心肌缺血最近一次诊断（症状发作）日期/时间	Recent_Diagnosis_Dt	无症状性心肌缺血最近一次诊断（症状发作）日期/时间	无症状性心肌缺血最近一次诊断（症状发作）日期/时间	Silent Myocardial Ischemia Most Recent Diagnosis (Symptom Onset) Date	3	datetime				cad_presentation_cd == 101		1	time	time
51	CathPCI_Data_Dictionary	D.导管治疗记录		147	无症状性心肌缺血最近一次诊断（症状发作）估计时间	If_Recent_Diagnosis_Dt_Est	无症状性心肌缺血最近一次诊断（症状发作）估计时间	无症状性心肌缺血最近一次诊断（症状发作）估计时间	Silent Myocardial Ischemia Most Recent Diagnosis (Symptom Onset) Estimated Time	3	bit				cad_presentation_cd == 101		1	checkbox	boolean
52	CathPCI_Data_Dictionary	D.导管治疗记录		148	无症状性心肌缺血最近一次诊断（症状发作）时间未知	If_Recent_Diagnosis_Dt_Na	无症状性心肌缺血最近一次诊断（症状发作）时间未知	无症状性心肌缺血最近一次诊断（症状发作）时间未知	Silent Myocardial Ischemia Most Recent Diagnosis (Symptom Onset) Time Unknown	3	bit				cad_presentation_cd == 101		1	checkbox	boolean
53	CathPCI_Data_Dictionary	D.导管治疗记录		149	稳定型心绞痛最近一次诊断（症状发作）日期/时间	Stable_Angina_Recent_Diagnosis_Dt	稳定型心绞痛最近一次诊断（症状发作）日期/时间	稳定型心绞痛最近一次诊断（症状发作）日期/时间	Stable Angina Most Recent Diagnosis (Symptom Onset) Date	3	datetime				cad_presentation_cd == 102		1	time	time
54	CathPCI_Data_Dictionary	D.导管治疗记录		150	稳定型心绞痛最近一次诊断（症状发作）估计时间	Stable_Angina_If_Recent_Diagnosis_Dt_Est	稳定型心绞痛最近一次诊断（症状发作）估计时间	稳定型心绞痛最近一次诊断（症状发作）估计时间	Stable Angina Most Recent Diagnosis (Symptom Onset) Estimated Time	3	bit				cad_presentation_cd == 102		1	checkbox	boolean
55	CathPCI_Data_Dictionary	D.导管治疗记录		151	稳定型心绞痛最近一次诊断（症状发作）时间未知	Stable_Angina_If_Recent_Diagnosis_Dt_Na	稳定型心绞痛最近一次诊断（症状发作）时间未知	稳定型心绞痛最近一次诊断（症状发作）时间未知	Stable Angina Most Recent Diagnosis (Symptom Onset) Time Unknown	3	bit				cad_presentation_cd == 102		1	checkbox	boolean
56	CathPCI_Data_Dictionary	D.导管治疗记录		152	不稳定型心绞痛最近一次诊断（症状发作）日期/时间	Unstable_Angina_Recent_Diagnosis_Dt	不稳定型心绞痛最近一次诊断（症状发作）日期/时间	不稳定型心绞痛最近一次诊断（症状发作）日期/时间	Unstable Angina Most Recent Diagnosis (Symptom Onset) Date	3	datetime				cad_presentation_cd == 103		1	time	time
57	CathPCI_Data_Dictionary	D.导管治疗记录		153	不稳定型心绞痛最近一次诊断（症状发作）估计时间	Unstable_Angina_If_Recent_Diagnosis_Dt_Est	不稳定型心绞痛最近一次诊断（症状发作）估计时间	不稳定型心绞痛最近一次诊断（症状发作）估计时间	Unstable Angina Most Recent Diagnosis (Symptom Onset) Estimated Time	3	bit				cad_presentation_cd == 103		1	checkbox	boolean
58	CathPCI_Data_Dictionary	D.导管治疗记录		154	不稳定型心绞痛最近一次诊断（症状发作）时间未知	Unstable_Angina_If_Recent_Diagnosis_Dt_Na	不稳定型心绞痛最近一次诊断（症状发作）时间未知	不稳定型心绞痛最近一次诊断（症状发作）时间未知	Unstable Angina Most Recent Diagnosis (Symptom Onset) Time Unknown	3	bit				cad_presentation_cd == 103		1	checkbox	boolean
59	CathPCI_Data_Dictionary	D.导管治疗记录		155	Non-STEMI症状发作日期/时间	Non_Stemi_Onset_Dt	Non-STEMI症状发作日期/时间	Non-STEMI症状发作日期/时间	Non-STEMI Onset Date	3	datetime				cad_presentation_cd == 104		1	time	time
60	CathPCI_Data_Dictionary	D.导管治疗记录		156	Non-STEMI症状发作是否为估计时间	Non_Stemi_If_Onset_Dt_Est	Non-STEMI症状发作是否为估计时间	Non-STEMI症状发作是否为估计时间	Non-STEMI Estimated Time	3	bit				cad_presentation_cd == 104		1	checkbox	boolean
61	CathPCI_Data_Dictionary	D.导管治疗记录		157	Non-STEMI症状发作是否为时间未知	Non_Stemi_If_Onset_Dt_Na	Non-STEMI症状发作是否为时间未知	Non-STEMI症状发作是否为时间未知	Non-STEMI Time Unknown	3	bit				cad_presentation_cd == 104		1	checkbox	boolean
62	CathPCI_Data_Dictionary	D.导管治疗记录		158	STEMI症状发作日期/时间	Onset_Dt	STEMI症状发作日期/时间	STEMI症状发作日期/时间	STEMI Onset Date	3	datetime				cad_presentation_cd == 105		1	time	time
63	CathPCI_Data_Dictionary	D.导管治疗记录		159	STEMI症状发作是否为估计时间	If_Onset_Dt_Est	STEMI症状发作是否为估计时间	STEMI症状发作是否为估计时间	STEMI Estimated Time	3	bit				cad_presentation_cd == 105		1	checkbox	boolean
64	CathPCI_Data_Dictionary	D.导管治疗记录		160	STEMI症状发作是否为时间未知	If_Onset_Dt_Na	STEMI症状发作是否为时间未知	STEMI症状发作是否为时间未知	STEMI Time Unknown	3	bit				cad_presentation_cd == 105		1	checkbox	boolean
65	CathPCI_Data_Dictionary	D.导管治疗记录		161	STEMI首次医疗接触时间	Stemi_Med_Contact_Dt	STEMI首次医疗接触时间	STEMI首次医疗接触时间	STEMI First Medical Contact Time	3	datetime				cad_presentation_cd == 105		1	time	time
66	CathPCI_Data_Dictionary	D.导管治疗记录		162	STEMI是否进行溶栓治疗	Has_Throm_Therapy	STEMI是否进行溶栓治疗	STEMI是否进行溶栓治疗	STEMI Thrombolytics	3	char(3)	if_else_na	Dict_Candidate_Values		cad_presentation_cd == 105		1	radio	list
67	CathPCI_Data_Dictionary	D.导管治疗记录		163	STEMI心功能Killip分级	Stemi_Killip_Cd	STEMI心功能Killip分级	STEMI心功能Killip分级	STEMI Cardiac Function Killip Classification	3	char(3)	functional_class	Dict_Candidate_Values		cad_presentation_cd == 105		1	radio	list
68	CathPCI_Data_Dictionary	D.导管治疗记录		164	不典型胸痛最近一次诊断（症状发作）日期/时间	Atypical_Chest_Pain_Recent_Diagnosis_Dt	不典型胸痛最近一次诊断（症状发作）日期/时间	不典型胸痛最近一次诊断（症状发作）日期/时间	Atypical Chest Pain Most Recent Diagnosis (Symptom Onset) Date	3	datetime				cad_presentation_cd == 106		1	time	time
69	CathPCI_Data_Dictionary	D.导管治疗记录		165	不典型胸痛最近一次诊断（症状发作）估计时间	Atypical_Chest_Pain_If_Recent_Diagnosis_Dt_Est	不典型胸痛最近一次诊断（症状发作）估计时间	不典型胸痛最近一次诊断（症状发作）估计时间	Atypical Chest Pain Most Recent Diagnosis (Symptom Onset) Estimated Time	3	bit				cad_presentation_cd == 106		1	checkbox	boolean
70	CathPCI_Data_Dictionary	D.导管治疗记录		166	不典型胸痛最近一次诊断（症状发作）时间未知	Atypical_Chest_Pain_If_Recent_Diagnosis_Dt_Na	不典型胸痛最近一次诊断（症状发作）时间未知	不典型胸痛最近一次诊断（症状发作）时间未知	Atypical Chest Pain Most Recent Diagnosis (Symptom Onset) Time Unknown	3	bit				cad_presentation_cd == 106		1	checkbox	boolean
71	CathPCI_Data_Dictionary	D.导管治疗记录		167	可疑心绞痛最近一次诊断（症状发作）日期/时间	Suspicious_Angina_Recent_Diagnosis_Dt	可疑心绞痛最近一次诊断（症状发作）日期/时间	可疑心绞痛最近一次诊断（症状发作）日期/时间	Suspicious Angina Most Recent Diagnosis (Symptom Onset) Date	3	datetime				cad_presentation_cd == 107		1	time	time
72	CathPCI_Data_Dictionary	D.导管治疗记录		168	可疑心绞痛最近一次诊断（症状发作）估计时间	Suspicious_Angina_If_Recent_Diagnosis_Dt_Est	可疑心绞痛最近一次诊断（症状发作）估计时间	可疑心绞痛最近一次诊断（症状发作）估计时间	Suspicious Angina Most Recent Diagnosis (Symptom Onset) Estimated Time	3	bit				cad_presentation_cd == 107		1	checkbox	boolean
73	CathPCI_Data_Dictionary	D.导管治疗记录		169	可疑心绞痛最近一次诊断（症状发作）时间未知	Suspicious_Angina_If_Recent_Diagnosis_Dt_Na	可疑心绞痛最近一次诊断（症状发作）时间未知	可疑心绞痛最近一次诊断（症状发作）时间未知	Suspicious Angina Most Recent Diagnosis (Symptom Onset) Time Unknown	3	bit				cad_presentation_cd == 107		1	checkbox	boolean
74	CathPCI_Data_Dictionary	D.导管治疗记录		170	溶栓治疗开始治疗日期	Throm_Therapy_Dt	溶栓治疗开始治疗日期	溶栓治疗开始治疗日期	Thrombolytics Start date/time	3	datetime				has_throm_therapy == 102		1	time	time
75	CathPCI_Data_Dictionary	D.导管治疗记录		171	2周内心绞痛分级	Anginal_Class_Cd	2周内心绞痛分级	2周内心绞痛分级	Anginal Classification w/in 2 Weeks	3	char(3)	anginal_class	Dict_Candidate_Values				1	radio	list
76	CathPCI_Data_Dictionary	D.导管治疗记录		172	2周内抗心绞痛药物治疗	Has_Antianginal_Med	2周内抗心绞痛药物治疗	2周内抗心绞痛药物治疗	Anti-Anginal Drug Therapy within 2 Weeks	3	char(3)	if_else_na	Dict_Candidate_Values				1	radio	list
77	CathPCI_Data_Dictionary	D.导管治疗记录		173	2周内抗心绞痛药物治疗，药物类型	Antianginal_Med_Type_Cd	2周内抗心绞痛药物治疗，药物类型	2周内抗心绞痛药物治疗，药物类型	Anti-Anginal Drug Therapy within 2 Weeks, Medication Type	3	nvarchar(40)	antianginal_med_type	Dict_Candidate_Values		has_antianginal_med == 102		1	mult_checkbox	list
78	CathPCI_Data_Dictionary	D.导管治疗记录		174	2周内心衰	Has_Prior2weeks_Hf	2周内心衰	2周内心衰	Heart Failure w/in 2 Weeks	3	char(3)	if_else_na	Dict_Candidate_Values				1	radio	list
79	CathPCI_Data_Dictionary	D.导管治疗记录		175	2周内NYHA心功能分级	Prior2week_Nyha_Cd	2周内NYHA心功能分级	2周内NYHA心功能分级	NYHA Class w/in 2 Weeks	3	char(3)	functional_class	Dict_Candidate_Values		has_prior2weeks_hf == 102		1	radio	list
80	CathPCI_Data_Dictionary	D.导管治疗记录		176	心肌病或左室收缩功能不全	If_Cardio_Lvsd	心肌病或左室收缩功能不全	心肌病或左室收缩功能不全	Cardiomyopathy or Left Ventricular Systolic Dysfunction	3	char(3)	if_else_na	Dict_Candidate_Values				1	radio	list
81	CathPCI_Data_Dictionary	D.导管治疗记录		177	24小时内心源性休克	If_Prior_Cardio_Shock	24小时内心源性休克	24小时内心源性休克	Cardiogenic Shock w/in 24 Hours	3	char(3)	if_else_na	Dict_Candidate_Values				1	radio	list
82	CathPCI_Data_Dictionary	D.导管治疗记录		178	非心脏手术术前评估	Has_Periop_Eval	非心脏手术术前评估	非心脏手术术前评估	Pre-operative Evaluation Before Non-Cardiac Surgery	3	char(3)	if_else_na	Dict_Candidate_Values				1	radio	list
83	CathPCI_Data_Dictionary	D.导管治疗记录		179	24小时内心脏骤停	If_Prior_Cardiac_Arrest	24小时内心脏骤停	24小时内心脏骤停	Cardiac Arrest within 24 Hours	3	char(3)	if_else_na	Dict_Candidate_Values				1	radio	list
84	CathPCI_Data_Dictionary	D.导管治疗记录		180	进行负荷试验或成像检查	Has_Stress_Imaging	进行负荷试验或成像检查	进行负荷试验或成像检查	Stress or Imaging Studies	3	char(3)	if_else_na	Dict_Candidate_Values				1	radio	list
85	CathPCI_Data_Dictionary	D.导管治疗记录		181	标准运动负荷试验(含或不含成像检查)	Has_Exercise_Stress_Test	标准运动负荷试验(含或不含成像检查)	标准运动负荷试验(含或不含成像检查)	Standard Exercise Stress Test (with or without imaging)	3	char(3)	if_else_na	Dict_Candidate_Values		has_stress_imaging == 102		1	radio	list
86	CathPCI_Data_Dictionary	D.导管治疗记录		182	标准运动负荷试验检查结果	Exercise_Test_Result_Cd	标准运动负荷试验检查结果	标准运动负荷试验检查结果	Stress or Imaging Studies Results	3	char(3)	stress_imaging_result	Dict_Candidate_Values		has_exercise_stress_test == 102		1	radio	list
87	CathPCI_Data_Dictionary	D.导管治疗记录		183	标准运动负荷试验缺血风险/程度	Exercise_Test_Risk_Cd	标准运动负荷试验缺血风险/程度	标准运动负荷试验缺血风险/程度	Stress or Imaging Studies Risk/Extent of ischemia	3	char(3)	stress_imaging_risk	Dict_Candidate_Values		exercise_test_result_cd == 102		1	radio	list
88	CathPCI_Data_Dictionary	D.导管治疗记录		184	负荷超声心动图	Has_Stress_Echo	负荷超声心动图	负荷超声心动图	Stress Echocardiogram	3	char(3)	if_else_na	Dict_Candidate_Values		has_stress_imaging == 102		1	radio	list
89	CathPCI_Data_Dictionary	D.导管治疗记录		185	负荷超声心动图检查结果	Stress_Echo_Result_Cd	负荷超声心动图检查结果	负荷超声心动图检查结果	Stress Echocardiogram Results	3	char(3)	stress_imaging_result	Dict_Candidate_Values		has_stress_echo == 102		1	radio	list
90	CathPCI_Data_Dictionary	D.导管治疗记录		186	负荷超声心动图缺血风险/程度	Stress_Echo_Risk_Cd	负荷超声心动图缺血风险/程度	负荷超声心动图缺血风险/程度	Stress Echocardiogram Risk/Extent of ischemia	3	char(3)	stress_imaging_risk	Dict_Candidate_Values		stress_echo_result_cd == 102		1	radio	list
91	CathPCI_Data_Dictionary	D.导管治疗记录		187	SPECT心脏负荷检查	Has_Spect_Stress_Test	SPECT心脏负荷检查	SPECT心脏负荷检查	Stress Testing with SPECT MPI	3	char(3)	if_else_na	Dict_Candidate_Values		has_stress_imaging == 102		1	radio	list
92	CathPCI_Data_Dictionary	D.导管治疗记录		188	SPECT心脏负荷检查检查结果	Spect_Stress_Result_Cd	SPECT心脏负荷检查检查结果	SPECT心脏负荷检查检查结果	Stress Testing with SPECT MPI Results	3	char(3)	stress_imaging_result	Dict_Candidate_Values		has_spect_stress_test == 102		1	radio	list
93	CathPCI_Data_Dictionary	D.导管治疗记录		189	SPECT心脏负荷检缺血风险/程度	Spect_Stress_Risk_Cd	SPECT心脏负荷检缺血风险/程度	SPECT心脏负荷检缺血风险/程度	Stress Testing with SPECT MPI Risk/Extent of ischemia	3	char(3)	stress_imaging_risk	Dict_Candidate_Values		spect_stress_result_cd == 102		1	radio	list
94	CathPCI_Data_Dictionary	D.导管治疗记录		190	负荷心脏核磁(CMR)检查	Has_Cmr_Stress_Test	负荷心脏核磁(CMR)检查	负荷心脏核磁(CMR)检查	Stress Test with CMR	3	char(3)	if_else_na	Dict_Candidate_Values		has_stress_imaging == 102		1	radio	list
95	CathPCI_Data_Dictionary	D.导管治疗记录		191	负荷心脏核磁(CMR)检查结果	Cmr_Stress_Result_Cd	负荷心脏核磁(CMR)检查结果	负荷心脏核磁(CMR)检查结果	Stress Test with CMR Results	3	char(3)	stress_imaging_result	Dict_Candidate_Values		has_cmr_stress_test == 102		1	radio	list
96	CathPCI_Data_Dictionary	D.导管治疗记录		192	负荷心脏核磁(CMR)检查缺血风险/程度	Cmr_Stress_Risk_Cd	负荷心脏核磁(CMR)检查缺血风险/程度	负荷心脏核磁(CMR)检查缺血风险/程度	Stress Test with CMR Risk/Extent of ischemia	3	char(3)	stress_imaging_risk	Dict_Candidate_Values		cmr_stress_result_cd == 102		1	radio	list
97	CathPCI_Data_Dictionary	D.导管治疗记录		193	心脏冠状动脉CT造影(CTA)	Has_Cardiac_Cta	心脏冠状动脉CT造影(CTA)	心脏冠状动脉CT造影(CTA)	Cardiac CTA	3	char(3)	if_else_na	Dict_Candidate_Values		has_stress_imaging == 102		1	radio	list
98	CathPCI_Data_Dictionary	D.导管治疗记录		194	心脏冠状动脉CT造影(CTA)检查结果	Cardiac_Cta_Result_Cd	心脏冠状动脉CT造影(CTA)检查结果	心脏冠状动脉CT造影(CTA)检查结果	Cardiac CTA Results	3	char(3)	cardiac_cta_result	Dict_Candidate_Values		has_cardiac_cta == 102		1	radio	list
99	CathPCI_Data_Dictionary	D.导管治疗记录		195	冠状动脉钙化积分	Cor_Calcium_Score	冠状动脉钙化积分	冠状动脉钙化积分	Coronary Calcium Score	3	char(3)	if_else_na	Dict_Candidate_Values		has_stress_imaging == 102		1	radio	list
100	CathPCI_Data_Dictionary	D.导管治疗记录		196	冠状动脉钙化积分钙化积分数	Calcium_Score	冠状动脉钙化积分钙化积分数	冠状动脉钙化积分钙化积分数	Coronary Calcium Score Calcium Score	3	int				cor_calcium_score == 102		1	textfield	integer
101	CathPCI_Data_Dictionary	D.导管治疗记录	手术信息	197	手术日期/时间	Procedure_Dt	手术日期	手术日期	Date/Time of Procedure	3	datetime						1	time	time
102	CathPCI_Data_Dictionary	D.导管治疗记录		198	曝光时间<分钟>	Fluro_Duration_Min	曝光时间<分钟>	曝光时间<分钟>	Fluoroscopy Time<Minute>	3	int					fluro_duration_min	1	textfield	integer
103	CathPCI_Data_Dictionary	D.导管治疗记录		199	曝光剂量<mGy>	Fluro_Dose_Mgy	曝光剂量<mGy>	曝光剂量<mGy>	Fluoroscopy Dose<mGy>	3	int					fluro_duration_min	1	textfield	integer
104	CathPCI_Data_Dictionary	D.导管治疗记录		200	PCI	Has_Pci	PCI	PCI	PCI Procedure	3	char(3)	if_else_na	Dict_Candidate_Values				1	radio	list
105	CathPCI_Data_Dictionary	D.导管治疗记录		201	对比剂用量(mL)	Contrast_Vol_Ml	对比剂用量(mL)	对比剂用量(mL)	Contrast Volume(mL)	3	int						1	textfield	integer
106	CathPCI_Data_Dictionary	D.导管治疗记录		202	诊断性心导管术	Has_Diagnostic_Cath	诊断性心导管术	诊断性心导管术	Diagnostic Cath	3	char(3)	if_else_na	Dict_Candidate_Values				1	radio	list
107	CathPCI_Data_Dictionary	D.导管治疗记录		203	对比剂类型	Contrast_Type_Cd	对比剂类型	对比剂类型	Contrast type	3	char(3)	contrast_type	Dict_Candidate_Values				1	select	list
108	CathPCI_Data_Dictionary	D.导管治疗记录		204	其他手术(与诊断性心导管术或PCI结合)	Has_Other_Procedure	其他手术(与诊断性心导管术或PCI结合)	其他手术(与诊断性心导管术或PCI结合)	Other Procedure (in conj w/Dx Cath or PCI)	3	char(3)	if_else_na	Dict_Candidate_Values				1	radio	list
109	CathPCI_Data_Dictionary	D.导管治疗记录	心室力学支持	205	主动脉内球囊反搏(IABP)	If_Iabp	主动脉内球囊反搏(IABP)	主动脉内球囊反搏(IABP)	Intra-aortic Ballon Pump (IABP)	3	char(3)	if_else_na	Dict_Candidate_Values				1	radio	list
110	CathPCI_Data_Dictionary	D.导管治疗记录		206	主动脉内球囊反搏(IABP)，时间	Iabp_Timing_Cd	主动脉内球囊反搏(IABP)，时间	主动脉内球囊反搏(IABP)，时间	Intra-aortic Ballon Pump (IABP),Time	3	char(3)	iabp_timing	Dict_Candidate_Values		if_Iabp == 102		1	radio	list
111	CathPCI_Data_Dictionary	D.导管治疗记录		207	其他心室力学支持	Has_Mv_Support	其他心室力学支持	其他心室力学支持	Other Ventricular Mechanical Support	3	char(3)	if_else_na	Dict_Candidate_Values				1	radio	list
112	CathPCI_Data_Dictionary	D.导管治疗记录		208	其他心室力学支持，时间	Mv_Support_Timing_Cd	其他心室力学支持，时间	其他心室力学支持，时间	Other Ventricular Mechanical Support,Time	3	char(3)	iabp_timing	Dict_Candidate_Values		has_mv_support == 102		1	radio	list
113	CathPCI_Data_Dictionary	D.导管治疗记录	动脉穿刺	209	动脉穿刺部位	Access_Site_Cd	动脉穿刺部位	动脉穿刺部位	Arterial Access Site	3	char(3)	access_site	Dict_Candidate_Values				1	radio	list
114	CathPCI_Data_Dictionary	D.导管治疗记录		210	闭合方法	Closure_Method_Cd	闭合方法	闭合方法	Closure Method(s)	3	nvarchar(40)	closure_method	Dict_Candidate_Values			if_method_na	1	mult_select	list
115	CathPCI_Data_Dictionary	D.导管治疗记录		211	闭合方法未记录方法	If_Method_Na	闭合方法未记录方法	闭合方法未记录方法	Closure Method(s) Method Not Documented	3	bit					if_method_na	1	checkbox	boolean
116	CathPCI_Data_Dictionary	E.诊断性心导管术		212	诊断性心导管术术者姓名	Dcath_Physican_Name	诊断性心导管术术者姓名	诊断性心导管术术者姓名	Diagnostic Cath Procedure Operator’s Name	3	nvarchar(100)	physician_name	Registry_Physician				1	select	list
117	CathPCI_Data_Dictionary	E.诊断性心导管术		213	诊断性心导管术术者执照编号	Dcath_Physican_Npi	诊断性心导管术术者执照编号	诊断性心导管术术者执照编号	Diagnostic Cath Procedure Operator NPI	3	nvarchar(32)						1	textfield	text
