group_name	cd	name
culprit_lesion	103	未知
dc_card_rehab	101	否
dc_card_rehab	102	是
dc_card_rehab	103	不符合条件
dc_status	101	存活
dc_status	102	死亡
dcath_status	101	择期
dcath_status	102	早期
dcath_status	103	急诊
dcath_status	104	抢救
dcath_treatment	101	无
dcath_treatment	102	药物治疗和/或咨询
dcath_treatment	103	PCI，未计划CABG
dcath_treatment	104	CABG治疗（包括计划的CABG/PCI杂交手术）
dcath_treatment	105	除PCI或CABG外的其他心脏治疗
death_cause	101	心脏
death_cause	102	神经
death_cause	103	肾脏
death_cause	104	血管
death_cause	105	感染
death_cause	106	瓣膜
death_cause	107	肺
death_cause	108	未知
death_cause	109	其他
death_cause_follow_up	101	心脏
death_cause_follow_up	102	神经
death_cause_follow_up	103	肾脏
death_cause_follow_up	104	血管
death_cause_follow_up	105	感染
death_cause_follow_up	106	肺
death_cause_follow_up	107	瓣膜
death_cause_follow_up	108	未知
death_cause_follow_up	109	其他
death_cause_heart_reason	101	心肌缺血或梗死
death_cause_heart_reason	102	心律失常
death_cause_heart_reason	103	 心衰
death_cause_heart_reason	104	其他
death_pci	101	与PCI操作有关
death_pci	102	与PCI操作无关
death_pci	103	不确定
device_name	101	装置1
device_name	102	装置2
device_name	103	装置3
device_name	104	装置4
device_name	105	装置5
device_name	106	装置6
device_name	107	装置7
device_name	108	装置8
device_name	109	装置9
device_name	110	装置10
device_name	111	装置11
device_name	112	装置12
device_name	113	装置13
device_name	114	装置14
device_name	115	装置15
device_name	116	装置16
device_name	117	装置17
device_name	118	装置18
device_name	119	装置19
device_name	120	装置20
device_name	121	装置21
device_name	122	装置22
device_name	123	装置23
device_name	124	装置24
device_name	125	装置25
device_name	126	装置26
device_name	127	装置27
device_name	128	装置28
device_name	129	装置29
device_name	130	装置30
device_origin	101	国产
device_origin	102	进口
diabetes_control	101	饮食
diabetes_control	102	口服
diabetes_control	103	胰岛素
diabetes_control	104	其他
dominance	101	左冠
dominance	102	右冠
dominance	103	均衡型
drug_using	101	是
drug_using	102	医生建议不使用
drug_using	103	自行停药
drug_using	104	其他原因不使用
ethnic	101	汉族
ethnic	102	蒙古族
ethnic	103	回族
ethnic	104	藏族
ethnic	105	维吾尔族
ethnic	106	苗族
ethnic	107	彝族
ethnic	108	壮族
ethnic	109	布依族
ethnic	110	朝鲜族
ethnic	111	满族
ethnic	112	侗族
ethnic	113	瑶族
ethnic	114	白族
ethnic	115	土家族
ethnic	116	哈尼族
ethnic	117	哈萨克族
ethnic	118	傣族
ethnic	119	黎族
ethnic	120	傈僳族
ethnic	121	佤族
ethnic	122	畲族
ethnic	123	高山族
ethnic	124	拉祜族
ethnic	125	水族
ethnic	126	东乡族
ethnic	127	纳西族
ethnic	128	景颇族
ethnic	129	柯尔克孜族
ethnic	130	土族
ethnic	131	达斡尔族
ethnic	132	仫佬族
ethnic	133	羌族
ethnic	134	布朗族
ethnic	135	撒拉族
ethnic	136	毛南族
ethnic	137	仡佬族
ethnic	138	锡伯族
ethnic	139	阿昌族
ethnic	140	普米族
ethnic	141	塔吉克族
ethnic	142	怒族
ethnic	143	乌孜别克族
ethnic	144	俄罗斯族
ethnic	145	鄂温克族
ethnic	146	德昂族
ethnic	147	保安族
ethnic	148	裕固族
ethnic	149	京族
ethnic	150	塔塔尔族
ethnic	151	独龙族
ethnic	152	鄂伦春族
ethnic	153	赫哲族
ethnic	154	门巴族
ethnic	155	珞巴族
ethnic	156	基诺族
ethnic	157	其他
follow_up_cycle	101	一个月随访
follow_up_cycle	102	三个月随访
follow_up_cycle	103	六个月随访
follow_up_cycle	104	九个月随访
follow_up_cycle	105	一年随访
follow_up_cycle	106	十八个月随访
follow_up_cycle	107	两年随访
follow_up_cycle	108	两年后随访
functional_class	101	I 级
functional_class	102	II 级
functional_class	103	III 级
functional_class	104	IV 级
hosp_status	101	门诊
hosp_status	102	门诊转为住院
hosp_status	103	住院
iabp_timing	101	手术开始时就位
iabp_timing	102	PCI开始前插入
iabp_timing	103	PCI开始后插入
ic_device_type	111	导丝
ic_device_type	101	球囊
ic_device_type	102	切割球囊
ic_device_type	103	裸支架
ic_device_type	104	药物洗脱支架
ic_device_type	105	覆膜支架
ic_device_type	106	冠脉内旋磨系统
ic_device_type	107	抽吸导管
ic_device_type	108	微导管
ic_device_type	109	远端血管保护
ic_device_type	110	其他
if_else_na	101	否
if_else_na	102	是
lesion_graft	101	否
lesion_graft	102	静脉桥血管
lesion_graft	103	左乳内动脉
lesion_graft	104	其他动脉
leson_complexty	101	非高/非C
leson_complexty	102	高/C
loc_graft	101	主动脉吻合口
loc_graft	102	体部
loc_graft	103	远端吻合口
medication_administer	101	否
medication_administer	102	是
medication_administer	103	禁忌症
medication_administer	104	双盲
pay_method	101	公费医疗
pay_method	102	商业医疗保险
pay_method	103	新型农村合作医疗
pay_method	104	自费
pay_method	105	其他
pay_method	106	社会基本医疗保险
pay_method	107	大病统筹
pay_method	108	城镇居民基本医疗保险
pci_delay_reason	101	开放血管通路困难
pci_delay_reason	104	患者延误签订手术知情同意书
pci_delay_reason	106	其他
pci_delay_reason	102	PCI术前心脏骤停和/或需要气管插管
pci_delay_reason	103	PCI术中难以穿过罪犯病变
pci_delay_reason	105	无
pci_indication	101	STEMI的紧急PCI治疗
pci_indication	102	PCI治疗STEMI（不稳定，心梗发作>12小时）
pci_indication	103	PCI治疗STEMI（稳定，心梗发作>12小时）
pci_indication	104	PCI治疗STEMI（成功足量溶栓治疗后稳定）
pci_indication	105	补救性PCI治疗STEMI（足量溶栓治疗失败后）
pci_indication	106	PCI治疗高风险Non-STEMI或不稳定型心绞痛
pci_indication	107	分次PCI
pci_indication	108	PCI治疗稳定型心绞痛
pci_status	101	择期
pci_status	102	早期
pci_status	103	急诊
pci_status	104	抢救
prev_lesion_time	101	< 1个月
prev_lesion_time	102	1-5个月
prev_lesion_time	103	6-12 个月
prev_lesion_time	104	1-2 年
prev_lesion_time	105	>2 年
prev_lesion_time	106	时间未知
quit_smoking	101	从不吸烟
quit_smoking	102	已戒烟
quit_smoking	103	未戒烟
revascularization	101	否
revascularization	102	PCI
revascularization	103	CABG
revascularization	104	PCI+CABG
segment_number	101	1.右冠近段-pRCA
segment_number	102	2.右冠中段-mRCA
segment_number	103	3.右冠远段-dRCA
segment_number	104	4.右后降支-rPDA
segment_number	105	5.右后房室支-rPAV
segment_number	106	6.第一右后侧支-1st RPL
segment_number	107	7.第二右后侧支-2nd RPL
segment_number	108	8.第三右后侧支-3rd RPL
segment_number	109	9.后室间隔支-pDSP
segment_number	110	10.锐缘支-aMarg
segment_number	111	11.左主干-LM
segment_number	112	12.前降支近段-pLAD
segment_number	113	13.前降支中段-mLAD
segment_number	114	14.前降支远段-dLAD
segment_number	115	15.第一对角支-1st Diag
segment_number	116	15a.侧面第一对角支-Lat 1st Diag
segment_number	117	16.第二对角支-2nd Diag
segment_number	118	16a.侧面第二对角支-Lat 2nd Diag
segment_number	119	17.前室间隔支-LAD SP
segment_number	120	18.回旋支近段 -pCIRC
segment_number	121	19.回旋支中段-mCIRC
segment_number	122	19a.回旋支远段-dCIRC
segment_number	123	20.第一钝缘支-1st OM
segment_number	124	20a.侧面第一钝缘支-Lat 1st OM
segment_number	125	21.第二钝缘支-2ndOM
segment_number	126	21a.侧面第二钝缘支-Lat 2nd OM
segment_number	127	22.第三钝缘支-3rd OM
segment_number	128	22a.侧面第三钝缘支-Lat 3rd OM
segment_number	129	23.回旋支房室沟支-CIRC AV
segment_number	130	24.第一左后侧支-1st LPL
segment_number	131	25.第二左后侧支-2nd LPL
segment_number	132	26.第三左后侧降支-3rd LPL
segment_number	133	27.左后降支-LPDA
segment_number	134	28.中间支-Ramus
segment_number	135	28a.侧面中间支-Lat Ramus
segment_number	136	29.第三对角支-3rd Diag
segment_number	137	29a.侧面第三对角支-Lat 3rd Diag
sex	101	男
sex	102	女
sex	103	未知
stemi_first_noted	101	第一次心电图
stemi_first_noted	102	后续心电图
stent_type	101	DES
stent_type	102	非DES
stent_type	103	类型未知
stress_imaging_result	101	阴性
stress_imaging_result	102	阳性
stress_imaging_result	103	无法判断
stress_imaging_result	104	未获得
stress_imaging_risk	101	低
stress_imaging_risk	102	中
stress_imaging_risk	103	高
stress_imaging_risk	104	未获得
timi	101	0
timi	102	1
timi	103	2
timi	104	3

cardioverter	101	窦性心律
cardioverter	102	起搏心律
cardioverter	103	心律失常
cardioverter	104	未评估
adult_echo_indication	101	体检
adult_echo_indication	102	高血压
adult_echo_indication	103	胸痛
adult_echo_indication	104	 心悸
adult_echo_indication	105	 呼吸困难
adult_echo_indication	106	晕厥
adult_echo_indication	107	杂音
adult_echo_indication	108	紫绀
adult_echo_indication	109	冠心病
adult_echo_indication	110	先心病
adult_echo_indication	111	主动脉瓣二叶瓣
adult_echo_indication	112	肥厚性心肌病
adult_echo_indication	113	心电图异常
adult_echo_indication	114	心律失常
adult_echo_indication	115	心脏停跳
adult_echo_indication	116	心影扩大
adult_echo_indication	117	血栓/赘生物评估
adult_echo_indication	118	心包积液
adult_echo_indication	119	心功能评估
adult_echo_indication	120	瓣膜评估
adult_echo_indication	121	颈动脉评估
adult_echo_indication	122	化疗
adult_echo_indication	123	PCI术后
adult_echo_indication	124	起搏器术后
adult_echo_indication	125	心脏移植术后
adult_echo_indication	126	先心术后
adult_echo_indication	127	其它
lvent_thks	101	正常
lvent_thks	102	均匀增厚
lvent_thks	103	不均匀增厚
lvent_thks	104	弥漫性变薄
lvent_thks	105	局部变薄
lvent_dis_bp	101	前间隔
lvent_dis_bp	102	下间隔
lvent_dis_bp	103	前壁
lvent_dis_bp	104	前侧壁
lvent_dis_bp	105	下侧壁
lvent_dis_bp	106	下壁
lvent_dis_bp	107	心尖
lvent_mot	101	正常
lvent_mot	102	亢进
lvent_mot	103	弥漫性减弱
lvent_mot	104	 节段性室壁运动不良
if_else_ne	101	是
if_else_ne	102	否
if_else_ne	103	未评估
cardio_type	101	肥厚型心肌病
cardio_type	102	心尖部肥厚型心肌病
cardio_type	103	限制型心肌病
cardio_type	104	致心律失常性右室心肌病
cardio_type	105	扩张型心肌病
cardio_type	106	心肌致密化不全性心肌病
cardio_type	107	心尖球囊综合征
cardio_type	108	其他
rvent_thks	101	正常
rvent_thks	102	均匀增厚
rvent_thks	103	局部变薄
rvent_thks	104	未评估
rvent_mot	101	正常
rvent_mot	102	亢进
rvent_mot	103	弥漫性减弱
rvent_mot	104	节段性室壁运动不良
rvent_mot	105	未评估
rvent_dis_bp	101	右室前壁
rvent_dis_bp	102	右室侧壁
rvent_dis_bp	103	右室下壁
pacemaker_type	101	心脏再同步化治疗起搏器(CRT-P)
pacemaker_type	102	心脏再同步化治疗并埋藏式心脏复律除颤仪(CRT-D)
pacemaker_type	103	非心脏再同步化治疗
pacemaker_type	104	无法判断
valve_type	101	自体瓣
valve_type	102	人工瓣
mitral_valve_echo	101	瓣叶增厚
mitral_valve_echo	102	瓣环/瓣叶钙化
mitral_valve_echo	103	风湿性病变
mitral_valve_echo	104	瓣叶裂缺
mitral_valve_echo	105	赘生物形成
mitral_valve_echo	106	瓣叶脱垂
mitral_valve_echo	107	瓣叶连枷
mitral_valve_echo	108	腱索/乳头肌断裂
mitral_valve_echo	109	其他异常
valve_man_echo	101	瓣周漏
valve_man_echo	102	瓣撕脱
valve_man_echo	103	血栓或血管翳形成
valve_man_echo	104	人工瓣膜引起的感染性心内膜炎
valve_man_echo	105	其他异常
stenosis_type	101	轻度
stenosis_type	102	中度
stenosis_type	103	重度
regur_type	101	轻微
regur_type	102	轻度
regur_type	103	中度
regur_type	104	重度
aortic_valve_echo	101	瓣叶增厚
aortic_valve_echo	102	瓣环/瓣叶钙化
aortic_valve_echo	103	风湿性病变
aortic_valve_echo	104	瓣叶粘连
aortic_valve_echo	105	赘生物形成
aortic_valve_echo	106	瓣叶脱垂
aortic_valve_echo	107	先天性瓣膜畸形
aortic_valve_echo	108	其他异常
tricu_valve_echo	101	瓣叶增厚
tricu_valve_echo	102	瓣环/瓣叶钙化
tricu_valve_echo	103	瓣叶对合不良
tricu_valve_echo	104	瓣叶脱垂
tricu_valve_echo	105	瓣叶连枷
tricu_valve_echo	106	类癌改变
tricu_valve_echo	107	先天性三尖瓣发育不良
tricu_valve_echo	108	Ebstein畸形
tricu_valve_echo	109	其他异常
pulm_valve_echo	101	瓣叶增厚
pulm_valve_echo	102	瓣环/瓣叶钙化
pulm_valve_echo	103	瓣叶粘连
pulm_valve_echo	104	类癌改变
pulm_valve_echo	105	先天性肺动脉瓣发育不良
pulm_valve_echo	106	其他异常
aortic_sin_dis_type	101	马凡综合征
aortic_sin_dis_type	102	主动脉夹层
aortic_sin_dis_type	103	主动脉扩张/主动脉瘤
aortic_sin_dis_type	104	乏氏窦瘤
aortic_sin_dis_type	105	主动脉溃疡
aortic_sin_dis_type	106	壁内血肿
aortic_sin_dis_type	107	主动脉破裂
aortic_sin_dis_type	108	主动脉缩窄
aortic_sin_dis_type	109	其他
aortic_dissect_type	101	Stanford A型
aortic_dissect_type	102	Stanford B型
aortic_aneurysm_type	101	升主动脉
aortic_aneurysm_type	102	主动脉弓
aortic_aneurysm_type	103	胸降主动脉
aortic_aneurysm_type	104	腹主动脉
pleural_effusion_bp	101	左侧
pleural_effusion_bp	102	右侧
pleural_effusion_bp	103	双侧
tumor_location	101	左心房
tumor_location	102	左心室
tumor_location	103	左心耳
tumor_location	104	右心房
tumor_location	105	右心室
tumor_location	106	二尖瓣
tumor_location	107	三尖瓣
tumor_location	108	主动脉瓣
tumor_location	109	肺动脉瓣
tumor_location	110	心包
tumor_location	111	其他
tumor_echo_type	101	低回声
tumor_echo_type	102	等回声
tumor_echo_type	103	高回声
tumor_echo_type	104	不均质
tumor_activity_type	101	不活动
tumor_activity_type	102	轻微活动
tumor_activity_type	103	活动度好
tumor_pos_nature	101	血栓
tumor_pos_nature	102	肿瘤
tumor_pos_nature	103	赘生物
tumor_pos_nature	104	房间隔脂肪性肥厚
tumor_pos_nature	105	其他
tumor_pos_nature	106	无法判断
defect_type	101	房间隔缺损
defect_type	102	室间隔缺损
defect_type	103	动脉导管未闭
defect_type	104	冠状动脉瘘
defect_type	105	其他
atrial_def_type_bp	101	原发孔型
atrial_def_type_bp	102	继发孔型
atrial_def_type_bp	103	静脉窦型
atrial_def_type_bp	104	卵圆孔未闭
atrial_def_type_bp	105	其他
def_sht_dir	101	左向右
def_sht_dir	102	右向左
def_sht_dir	103	双向
vent_def_type_bp	101	膜部
vent_def_type_bp	102	肌部
vent_def_type_bp	103	嵴上型
vent_def_type_bp	104	其他
vent_def_reason	101	先天性心脏病
vent_def_reason	102	心肌梗死并发室间隔穿孔
aortic_def_type_bp	101	管型
aortic_def_type_bp	102	窗型
aortic_def_type_bp	103	漏斗型
aortic_def_type_bp	104	无法判断
coro_def_type_bp	101	左冠-右室瘘
coro_def_type_bp	102	左冠-右房瘘
coro_def_type_bp	103	左冠-左室瘘
coro_def_type_bp	104	左冠-左房瘘
coro_def_type_bp	105	左冠-肺动脉瘘
coro_def_type_bp	106	右冠-右室瘘
coro_def_type_bp	107	右冠-右房瘘
coro_def_type_bp	108	右冠-左室瘘
coro_def_type_bp	109	右冠-左房瘘
coro_def_type_bp	110	右冠-肺动脉瘘
occluder_bp	101	房间隔
occluder_bp	102	室间隔
occluder_bp	103	动脉导管未闭
occluder_bp	104	冠状动脉瘘
occluder_bp	105	其他
smoker_status	101	近期戒烟
smoker_status	102	长期戒烟
smoker_status	103	从不吸烟
post_cva_cause	101	脑梗死
post_cva_cause	102	脑栓塞
post_cva_cause	103	脑出血
post_cva_cause	104	其它
post_cva_cause	105	未知
post_cva_type	101	缺血性卒中的出血转化
post_cva_type	102	蛛网膜下腔出血
post_cva_type	103	脑实质出血(由缺血性卒中转化除外)
post_cva_type	104	 其它
post_cva_type	105	未知
post_cva_sequela	101	恢复
post_cva_sequela	102	轻中度障碍
post_cva_sequela	103	严重障碍
ot_bleed_type	101	大出血
ot_bleed_type	102	临床显著出血
ot_bleed_type	103	隐匿性出血
ot_bleed_bp	101	消化道
ot_bleed_bp	102	泌尿系
ot_bleed_bp	103	皮肤黏膜
ot_bleed_bp	104	眼底
ot_bleed_bp	105	其它
thyroid_dis_type	101	甲亢
thyroid_dis_type	102	甲减
thyroid_dis_type	103	亚临床甲亢
thyroid_dis_type	104	亚临床甲减
kidney_dis_type	101	I期
kidney_dis_type	102	II期
kidney_dis_type	103	III期
kidney_dis_type	104	IV期
kidney_dis_type	105	V期
arrhythmia_type	101	室速/室颤
arrhythmia_type	102	窦性心动过缓
arrhythmia_type	103	病态窦房结综合征
arrhythmia_type	104	房室传导阻滞
arrhythmia_type	105	其它室上性心动过速
arrhythmia_type	106	其它
atriov_block_type	101	I度
atriov_block_type	102	II度I型
atriov_block_type	103	II度II型
atriov_block_type	104	高度(2:1或3:1等)
atriov_block_type	105	III度
af_treat_method	101	节律控制
af_treat_method	102	心率控制
af_treat_method	103	未治疗
af_pacemaker_type	101	单腔
af_pacemaker_type	102	 双腔
af_pacemaker_type	103	 双心室同步
pacemaker_indications	101	病态窦房结综合征
pacemaker_indications	102	房室传导阻滞
pacemaker_indications	103	房颤伴长间歇
pacemaker_indications	104	心力衰竭
pacemaker_indications	105	其它
radio_indications	101	房颤
radio_indications	102	其它室上性心动过速
af_visit_cause	101	房颤
af_visit_cause	102	其他心脏原因
af_visit_cause	103	非心脏原因
af_duration	101	5min
af_duration	102	5min~6h
af_duration	103	6h~48h
af_duration	104	48h~7d
af_duration	105	7d~3m
af_duration	106	3m~1y
af_duration	107	>1y
af_duration	108	未知
af_frequency	101	仅发作过1次
af_frequency	102	多次发作
self_health_status	101	非常好
self_health_status	102	好
self_health_status	103	良好
self_health_status	104	一般
self_health_status	105	不好
self_health_status	106	难以判断
af_affect	101	不影响生活
af_affect	102	轻微影响生活
af_affect	103	明显影响生活
af_clinical_diagnosis	101	初发
af_clinical_diagnosis	102	阵发性
af_clinical_diagnosis	103	混合性
af_clinical_diagnosis	104	持久性
af_cardioverter	101	窦律
af_cardioverter	102	房颤
af_cardioverter	103	房扑
af_cardioverter	104	起搏心律
af_cardioverter	105	其他
bundle_block_type	101	LBBB
bundle_block_type	102	RBBB
bundle_block_type	103	非特异性室内阻滞
lvent_dia_abnor_type	101	舒张受限
lvent_dia_abnor_type	102	假性正常化
lvent_dia_abnor_type	103	限制性，可逆
lvent_dia_abnor_type	104	限制性，不可逆
mitral_status	101	正常
mitral_status	102	异常
mitral_status	103	人工瓣
mitral_status_abnor	101	风湿性
mitral_status_abnor	102	粘液瘤
mitral_status_abnor	103	脱垂
mitral_status_abnor	104	连枷样
mitral_status_abnor	105	其它
echo_heart_bp	101	左心耳
echo_heart_bp	102	左房体部
echo_heart_bp	103	右房
echo_heart_bp	104	左室
echo_heart_bp	105	右室
af_drug_using	101	否
af_drug_using	102	是
af_drug_using	103	禁忌症
af_drug_using	104	双盲
ablation_cath_type	101	温控
ablation_cath_type	102	冷盐水
wave_type	101	单相
wave_type	102	双相
first_relapse_dt	101	24h内
first_relapse_dt	102	24-48h
first_relapse_dt	103	48-72h
first_relapse_dt	104	>72h
first_relapse_duration	101	5min
first_relapse_duration	102	5min~6h
first_relapse_duration	103	6h~48h
first_relapse_duration	104	>48h
first_relapse_duration	105	未转复
first_relapse_treat	101	自行转复
first_relapse_treat	102	药物复律
first_relapse_treat	103	电复律
first_relapse_treat	104	未尝试复律
relapse_count	101	仅发作过1次
relapse_count	102	多次发作
coro_proc_type	101	PCI
coro_proc_type	102	CABG
coro_proc_type	103	PCI+CABG
af_death_cause	101	心脏原因
af_death_cause	102	致死性脑卒中
af_death_cause	103	其它
af_death_cause	104	未知
drug_use_method	101	静脉
drug_use_method	102	口服
has_relapse	101	否
has_relapse	102	即刻复发
has_relapse	103	早期复发
has_relapse	104	晚期复发
af_complication	101	麻醉相关
af_complication	102	栓塞
af_complication	103	缓慢性心律失常
af_complication	104	其它
af_follow_visit_cause	101	常规预约随访
af_follow_visit_cause	102	因房颤相关症状就诊
af_follow_visit_cause	103	因其它心脏相关情况就诊
af_follow_visit_cause	104	因非心脏原因就诊
cur_treatment	101	节律控制
cur_treatment	102	心率控制
af_evidence	101	自觉症状
af_evidence	102	自测脉搏
af_evidence	103	医生测脉搏
af_evidence	104	心电图
af_evidence	105	Holter
af_evidence	106	远程心电图
cardioversion_type	101	未复律
cardioversion_type	102	自行转复
cardioversion_type	103	自服药物转复
cardioversion_type	104	医院治疗后转复
af_procedure_type	101	射频消融术
af_procedure_type	102	起搏器植入术
af_procedure_type	103	其它
af_follow_cardio	101	窦律
af_follow_cardio	102	房颤
af_follow_cardio	103	房扑/房速
af_follow_cardio	104	起搏心律
af_follow_cardio	105	其他
af_follow_drug_using	101	使用
af_follow_drug_using	102	医生建议
af_follow_drug_using	103	自行停药
af_follow_drug_using	104	其他原因
admt_reason	101	植入器械
admt_reason	102	心脏原因 -心律失常
admt_reason	103	心脏原因 -心衰
admt_reason	104	心脏原因-其他
admt_reason	105	非心脏原因
af_attack_type	101	阵发性
af_attack_type	102	持续性
af_attack_type	103	永久性
af_attack_type	104	继发性
af_attack_type	105	无法判断
if_no_judgement	101	否
if_no_judgement	102	是
if_no_judgement	103	无法判断
sychno_type	101	非持续性
sychno_type	102	持续性单形性
sychno_type	103	持续性多形性
sychno_type	104	持续性单形性和多形性
sychno_type	105	无法判断
cardiac_arrest_cause	101	VT/VF
cardiac_arrest_cause	102	缓慢性心律失常
cardiac_arrest_cause	103	无法判断
sudden_death_sym_type	101	长QT综合征
sudden_death_sym_type	102	短QT综合征
sudden_death_sym_type	103	Brugada综合
sudden_death_sym_type	104	儿茶酚胺敏感性多形性室速
sudden_death_sym_type	105	特发性室速/室颤
sudden_death_sym_type	106	其他
symptom_duration	101	<3个月
symptom_duration	102	3-9个月
symptom_duration	103	>9个月
hospitalized_time_ago	101	<=6个月
hospitalized_time_ago	102	>6 个月
myo_infar_time_ago	101	<=40天
myo_infar_time_ago	102	>40 天
ot_struct_abnor_type	101	淀粉样变性
ot_struct_abnor_type	102	房间隔缺损
ot_struct_abnor_type	103	Chagas病
ot_struct_abnor_type	104	单心室
ot_struct_abnor_type	105	Ebstein畸形
ot_struct_abnor_type	106	巨细胞心肌炎
ot_struct_abnor_type	107	肥厚性心肌病
ot_struct_abnor_type	108	 ARVC
ot_struct_abnor_type	109	左室室壁瘤
ot_struct_abnor_type	110	左室致密化不全
ot_struct_abnor_type	111	结节病
ot_struct_abnor_type	112	大动脉转置
ot_struct_abnor_type	113	法洛氏四联症
ot_struct_abnor_type	114	室间隔缺损
ot_struct_abnor_type	115	其他
arrhythmia_pac_type	101	非持续性室速
arrhythmia_pac_type	102	持续性单形性室速
arrhythmia_pac_type	103	持续性多形性室速
arrhythmia_pac_type	104	室扑
arrhythmia_pac_type	105	室颤
icd_type	101	单腔
icd_type	102	双腔
icd_type	103	 CRT-D
icd_implant_bp	101	胸部
icd_implant_bp	102	腹部
icd_indication	101	一级预防
icd_indication	102	二级预防
scnd_lvl_prvt_indi	101	心脏骤停，原因不清
scnd_lvl_prvt_indi	102	自发性持续性室速
scnd_lvl_prvt_indi	103	晕厥伴高危特征
scnd_lvl_prvt_indi	104	晕厥伴可诱发的VT
scnd_lvl_prvt_indi	105	室颤
scnd_lvl_prvt_indi	106	无记载
pace_position	101	心房
pace_position	102	心室
pacemaker_type_pac	101	心房单腔
pacemaker_type_pac	102	心室单腔
pacemaker_type_pac	103	双腔
pacemaker_type_pac	104	CRT
pacemaker_type_pac	105	ICD
pacemaker_type_pac	106	CRT-D
pac_heart_rate	101	房速
pac_heart_rate	102	房颤/房扑
pac_heart_rate	103	交界区逸搏
pac_heart_rate	104	室性逸搏
pac_heart_rate	105	窦性心律
pac_heart_rate	106	II度AVB
pac_heart_rate	107	III度AVB
pac_heart_rate	108	起搏心律
ecg_atrial_hr	101	窦性心律
ecg_atrial_hr	102	窦性静止
ecg_atrial_hr	103	房颤/房扑
ecg_atrial_hr	104	未知
paced_rate_type	101	心房起搏
paced_rate_type	102	心室起搏
paced_rate_type	103	心房及心室起搏
vent_block_type	101	LAFB
vent_block_type	102	LPFB
vent_block_type	103	LBBB
vent_block_type	104	RBBB
vent_block_type	105	非特异阻滞
vent_block_type	106	心室起搏节律
plant_op_type	101	新植入
plant_op_type	102	更换脉冲发生器
plant_op_type	103	更换导线
planted_dev_type	101	单腔起搏器
planted_dev_type	102	双腔起搏器
planted_dev_type	103	单腔ICD
planted_dev_type	104	双腔ICD
planted_dev_type	105	CRT-P
planted_dev_type	106	CRT-D
pacemaker_indi	101	病态窦房结综合征
pacemaker_indi	102	房室传导阻滞
pacemaker_indi	103	双分支及三分支阻滞
pacemaker_indi	104	房颤伴长间歇
pacemaker_indi	105	肥厚梗阻性心肌病
pacemaker_indi	106	神经介导性晕厥
pacemaker_indi	107	先天性长QT综合征
pacemaker_indi	108	其他
pacemaker_indi_lvl	101	I类
pacemaker_indi_lvl	102	IIa类
pacemaker_indi_lvl	103	IIb类
